Time,S21_dB,Phase_Deg,S21_Gauss_SavGol,Phase_Gauss_SavGol,Background_dB,Background_Phase,Anomaly,OBJ,Height
2.56692,0.0274031,-871.029,0.0199152,-991.956,0.0149756,-389.482,0,NO,1.25
2.58117,0.0443412,-985.323,0.0199588,-1008.47,0.015009,-393.636,0,NO,1.25
2.59579,0.0505804,-1042.69,0.0199035,-1027.03,0.0150416,-397.859,0,NO,1.25
2.60986,0.0152006,-1033.15,0.0198103,-1048.28,0.0150732,-402.166,0,NO,1.25
2.62461,-0.0104111,-1175.4,0.0196366,-1073.1,0.0151032,-406.58,0,NO,1.25
2.63879,0.0180479,-1102.52,0.0193295,-1101.46,0.0151309,-411.122,0,NO,1.25
2.65345,0.0391907,-1231.88,0.0188742,-1131.87,0.0151552,-415.802,0,NO,1.25
2.6679,0.0285431,-1206.83,0.0182935,-1162.11,0.0151754,-420.617,0,NO,1.25
2.68242,-0.0267488,-1200.09,0.0176675,-1190.53,0.0151914,-425.552,0,NO,1.25
2.69747,0.013038,-1163.18,0.017146,-1216.92,0.0152038,-430.593,0,NO,1.25
2.71211,0.0405378,-1174.37,0.0168799,-1242.54,0.0152144,-435.732,0,NO,1.25
2.72641,0.0406002,-1261.71,0.0169183,-1269.54,0.0152252,-440.976,0,NO,1.25
2.74119,-0.025518,-1259.81,0.0171953,-1300.32,0.0152375,-446.347,0,NO,1.25
2.75516,0.024929,-1351.48,0.0176303,-1336.79,0.0152523,-451.877,0,NO,1.25
2.76909,0.0516858,-1459.46,0.0182049,-1379.82,0.0152706,-457.605,0,NO,1.25
2.78353,-0.00307509,-1318.07,0.0189203,-1428.73,0.015293,-463.563,0,NO,1.25
2.79775,-0.00282496,-1424.12,0.0197043,-1481.29,0.0153199,-469.769,0,NO,1.25
2.81173,0.0269328,-1444.64,0.0204119,-1534.19,0.0153507,-476.22,0,NO,1.25
2.82537,0.0424688,-1593.3,0.020921,-1584,0.0153843,-482.893,0,NO,1.25
2.84001,0.0523315,-1593.5,0.0212036,-1628.07,0.0154191,-489.751,0,NO,1.25
2.85399,-0.0156708,-1731.03,0.0212863,-1665.15,0.015454,-496.747,0,NO,1.25
2.86783,-0.00394759,-1784.46,0.0211803,-1695.39,0.0154879,-503.84,0,NO,1.25
2.88192,0.0220823,-1927.48,0.0208798,-1720.03,0.0155196,-510.994,0,NO,1.25
2.89604,0.0432982,-1807.56,0.0204003,-1741.05,0.0155482,-518.187,0,NO,1.25
